city,lat,lon
Yerres,,
Wittenheim,47.757435,7.347294
Wattrelos,50.70654444444419,3.180661181067534
Wasquehal,50.67003055555521,3.07656105222801
Voiron,45.36023170019,5.589425495626
Vitry-sur-Seine,48.856614,2.3522219
Vitry-le-François,,
Vitrolles,43.419722222222,5.212777777778
Vitré,,
Viry-Châtillon,,
Viroflay,,
Vincennes,48.856614,2.3522219
Villiers-sur-Marne,48.8408,2.4844
Villiers-le-Bel,48.9908,2.44461
Villeurbanne,45.7747254,4.8986121
Villers-lès-Nancy,48.69707068939401,6.154174177088357
Villepinte,48.9557,2.5744100000000003
Villeparisis,48.9557,2.5744100000000003
Villeneuve-sur-Lot,,
Villeneuve-Saint-Georges,48.7759,2.37577
Villeneuve-le-Roi,48.7759,2.37577
Villeneuve-la-Garenne,48.9302,2.29421
Villenave-d’Ornon,44.800461732357,-0.5893979010379999
Villemomble,48.8408,2.4844
Villejuif,48.856614,2.3522219
Villefranche-sur-Saône,45.990147,4.715483
Villefontaine,,
Vigneux-sur-Seine,48.7759,2.37577
Vierzon,47.221438,2.069791
Vienne,45.526024882009,4.875408575196
Vichy,46.130441,3.425693
Vesoul,47.619788,6.15428
Vertou,47.2222,-1.53743
Versailles,,
Verrières-le-Buisson,48.8303,2.26972
Vernon,50.260617,-119.270723
Verneuil-sur-Seine,,
Verdun,49.16777799481213,5.387460452864235
Vénissieux,45.707806439419,4.864485061341
Vendôme,,
Vence,43.65389,7.12611
Vélizy-Villacoublay,48.8303,2.26972
Vauréal,49.0459,2.04104
Vaulx-en-Velin,45.778966990895,4.924923713657
Vanves,48.856614,2.3522219
Vannes,47.64892,-2.76399
Vandœuvre-lès-Nancy,48.62286873754488,6.194915156724528
Vallauris,43.59972,7.09472
Valenciennes,50.36425069914865,3.522730735747719
Valence,44.93357319309,4.893482678713
Tulle,45.262666665757,1.76283333333
Troyes,48.3018,4.0771888888889
Tremblay-en-France,48.9557,2.5744100000000003
Trappes,,
Tours,47.395,0.7046
Tournefeuille,43.62530339,1.377245933
Tourlaville,49.6469486216996,-1.5934168863654499
Tourcoing,50.70654444444419,3.180661181067534
Toulouse,43.5873309,1.4440262320000001
Toulon,43.12679,5.92194
Toul,,
Torcy,48.8403,2.63463
Thonon-les-Bains,,
Thionville,49.35825403041097,6.156965601843795
Thiais,48.7759,2.37577
Tergnier,49.613108333333,3.2233416666664
Taverny,,
Tassin-la-Demi-Lune,45.720081538692,4.818158942139
Tarbes,43.23035205,0.062463284
Talence,44.800461732357,-0.5893979010379999
Suresnes,48.8303,2.26972
Sucy-en-Brie,48.8408,2.4844
Strasbourg,48.59043,7.7449829999999995
Stains,48.9251,2.35654
Sotteville-lès-Rouen,49.4366914897979,1.09855494496119
Sorgues,43.96016,4.85721
Soisy-sous-Montmorency,48.9302,2.29421
Soissons,,
Six-Fours-les-Plages,,
Sin-le-Noble,50.378216666666326,3.065863930192917
Seynod,45.895344907131,6.118434383291
Sèvres,48.8303,2.26972
Sevran,48.9557,2.5744100000000003
Sète,,
Sens,48.200436,3.2773
Senlis,,
Sélestat,,
Sedan,,
Schiltigheim,48.59043,7.7449829999999995
Sceaux,48.8303,2.26972
Savigny-sur-Orge,,
Savigny-le-Temple,48.5282,2.65382
Saumur,,
Sartrouville,48.8913,2.24064
Sarreguemines,49.11880594817594,7.083258834597251
Sarcelles,48.9908,2.44461
Saran,47.9071,1.90109
Sannois,48.9302,2.29421
Sanary-sur-Mer,,
Salon-de-Provence,43.638936111111,5.1011111111114
Sallanches,45.932593,6.6412569999999995
Saint-Sébastien-sur-Loire,47.2222,-1.53743
Saint-Raphaël,43.43786,6.76837
Saint-Quentin,49.843055555556,3.2822222222221002
Saint-Priest,45.707806439419,4.864485061341
Saint-Pol-sur-Mer,51.03276112413968,2.332358336026574
Saint-Pierre-des-Corps,47.395,0.7046
Saint-Ouen-l’Aumône,49.0459,2.04104
Saint-Ouen,48.856614,2.3522219
Saint-Omer,50.74822409513352,2.259780494421469
Saint-Nazaire,47.2641,-2.25012
Saint-Michel-sur-Orge,,
Saint-Médard-en-Jalles,44.84135998455,-0.650994740376
Saint-Maximin-la-Sainte-Baume,,
Saint-Maur-des-Fossés,48.8408,2.4844
Saint-Martin-d’Hères,45.183030097973,5.753251253991
Saint-Mandé,48.856614,2.3522219
Saint-Malo,48.6530669,-2.002744
Saint-Louis,-21.278166666667,55.403694444445
Saint-Lô,49.1164068386796,-1.08472370493427
Saint-Leu-la-Forêt,,
Saint-Leu,-21.223063888889,55.302513888889
Saint-Laurent-du-Var,43.65718,7.2033
Saint-Jean-de-la-Ruelle,47.9071,1.90109
Saint-Jean-de-Braye,47.9175,1.9664000000000001
Saint-Herblain,47.2529,-1.57328
Saint-Gratien,48.9302,2.29421
Saint-Germain-en-Laye,,
Saint-Genis-Laval,45.720081538692,4.818158942139
Saint-Fons,45.707806439419,4.864485061341
Saint-Étienne-du-Rouvray,49.4366914897979,1.09855494496119
Saint-Étienne,45.44797962,4.38876322
Saintes,,
Sainte-Geneviève-des-Bois,,
Sainte-Foy-lès-Lyon,45.720081538692,4.818158942139
Saint-Égrève,45.180750631543,5.720058504242
Saint-Dizier,48.6458,4.9659611111108
Saint-Dié-des-Vosges,,
Saint-Denis,-20.884583333333,55.453927777778
Saint-Cyr-sur-Loire,47.41908,0.6830200000000001
Saint-Cyr-l’École,,
Saint-Cloud,48.8303,2.26972
Saint-Chamond,45.475383776049,4.515004483207
Saint-Brieuc,48.51351,-2.74953
Saint-Avold,49.16568858170346,6.716887639855134
Saint-Avertin,47.395,0.7046
Saint-Amand-les-Eaux,,
Rueil-Malmaison,48.8913,2.24064
Royan,,
Rouen,49.4424766601236,1.0936962257792
Roubaix,50.70654444444419,3.180661181067534
Rosny-sous-Bois,48.8408,2.4844
Ronchin,50.67003055555521,3.07656105222801
Romorantin-Lanthenay,,
Romans-sur-Isère,45.042241506127,5.044121168707
Romainville,48.856614,2.3522219
Roissy-en-Brie,48.8403,2.63463
Rodez,44.35699225,2.570704222
Rochefort,,
Roanne,46.041268534811,4.074659314085
Ris-Orangis,,
Riom,,
Rillieux-la-Pape,45.7747254,4.8986121
Rezé,47.2222,-1.53743
Rennes,48.108591,-1.665886
Reims,49.2507,4.0230805555557
Rambouillet,48.6337,1.8304300000000002
Quimper,47.99612,-4.09972
Puteaux,48.8303,2.26972
Port-de-Bouc,43.402222222222,4.9822222222224
Pontoise,49.0459,2.04104
Pontivy,,
Pontarlier,,
Pont-à-Mousson,48.91498107162721,6.058657544610076
Poitiers,46.583958333334,0.34560277777775
Poissy,,
Ploemeur,47.7422099,-3.394622400000003
Plaisir,,
Plaisance-du-Touch,,
Pierrefitte-sur-Seine,48.9251,2.35654
Pessac,44.84135998455,-0.650994740376
Pertuis,,
Perpignan,42.695548,2.900528
Périgueux,45.189825392579,0.727184115413
Pau,43.311090862965,-0.352116041428
Paris,48.856614,2.3522219
Pantin,48.856614,2.3522219
Pamiers,43.11443278,1.622595638
Palaiseau,,
Ozoir-la-Ferrière,48.8403,2.63463
Oyonnax,,
Outreau,50.69435277777746,1.576572441478188
Oullins,45.720081538692,4.818158942139
Osny,49.0459,2.04104
Orvault,47.2529,-1.57328
Orsay,,
Orly,48.7759,2.37577
Orléans,47.9071,1.90109
Orange,33.83061,-117.9385
Olivet,47.9071,1.90109
Octeville,49.6469486216996,-1.5934168863654499
Noyon,,
Noisy-le-Sec,48.9024,2.45261
Noisy-le-Grand,48.8403,2.63463
Noisiel,48.8403,2.63463
Nogent-sur-Oise,49.259552777778,2.4743972222222
Nogent-sur-Marne,48.8408,2.4844
Niort,46.329586111111,-0.45888888888892
Nîmes,43.829897,4.361988
Nice,43.70208,7.28626
Nevers,46.996826,3.171092
Neuilly-sur-Seine,48.856614,2.3522219
Neuilly-sur-Marne,48.8408,2.4844
Neuilly-Plaisance,48.8408,2.4844
Narbonne,,
Nantes,47.2222,-1.53743
Nanterre,48.8303,2.26972
Nancy,48.6881386056889,6.190433846941978
Muret,,
Mulhouse,47.747684,7.321364
Moulins,46.56198,3.34064
Mougins,43.5625,7.00722
Morsang-sur-Orge,,
Morlaix,,
Mont-Saint-Aignan,49.4424766601236,1.0936962257792
Montrouge,48.856614,2.3522219
Montreuil,48.9024,2.45261
Montpellier,43.609606,3.8987819999999997
Montmorency,48.9251,2.35654
Montluçon,46.34072324,2.59394446
Montivilliers,49.5027530805771,0.23248622305851901
Montigny-lès-Metz,49.10746305440971,6.122629344202662
Montigny-lès-Cormeilles,,
Montigny-le-Bretonneux,,
Montgeron,,
Montfermeil,48.9557,2.5744100000000003
Montesson,,
Montereau-Fault-Yonne,,
Montélimar,,
Mont-de-Marsan,43.896076454047,-0.491448783548
Montceau-les-Mines,46.678783,4.366893
Montbrison,,
Montbéliard,47.5265765,6.7835011
Montauban,44.014531668349,1.3737899065018
Montargis,47.99792,2.71946
Mons-en-Barœul,50.67003055555521,3.07656105222801
Moissy-Cramayel,,
Mitry-Mory,48.9557,2.5744100000000003
Miramas,43.585,5.0063888888888
Millau,44.10618169,3.072179407
Meyzieu,45.753581276814,5.07230131917
Meylan,45.183030097973,5.753251253991
Meudon,48.8303,2.26972
Metz,49.119682835312,6.18092604026791
Mérignac,44.84135998455,-0.650994740376
Menton,,
Melun,48.5282,2.65382
Meaux,,
Mayenne,,
Maurepas,,
Mauguio,,
Maubeuge,50.27935555555515,3.976908650369971
Massy,,
Martigues,43.399583333333,5.1147222222223
Marseille,43.30608,5.39579
Marmande,44.508839381525,0.14263700515
Marly-le-Roi,,
Marignane,43.419722222222,5.212777777778
Marcq-en-Barœul,50.67003055555521,3.07656105222801
Mantes-la-Ville,,
Mantes-la-Jolie,,
Manosque,43.83528,5.78583
Mandelieu-la-Napoule,43.5625,7.00722
Malakoff,48.856614,2.3522219
Maisons-Laffitte,,
Maisons-Alfort,48.8386,2.41278
Mâcon,32.805408,-83.543521
Lyon,45.74972628,4.84439392
Lunéville,48.58483527749371,6.483581468177303
Lunel,43.6777778,4.0916667
Lucé,48.44421,1.51023
Louviers,,
Lourdes,43.0979798,-0.0394276
Lormont,44.900296425952,-0.515835418264
Lorient,47.7422099,-3.394622400000003
Loos,50.67003055555521,3.07656105222801
Lons-le-Saunier,46.671361,5.550796
Longjumeau,,
Lomme,50.640794444443976,3.074772222222191
Lognes,48.8403,2.63463
Livry-Gargan,48.9557,2.5744100000000003
L’Isle-sur-la-Sorgue,,
Lisieux,49.1472314829297,0.22722246831575
Lingolsheim,48.575985,7.727478
Limoges,45.829949408357,1.25484522882
Limeil-Brévannes,,
Limay,,
Lille,50.67003055555521,3.07656105222801
Liévin,50.427502777777285,2.838019444444109
Libourne,,
L'Haÿ-les-Roses,48.856614,2.3522219
Le Vésinet,,
Levallois-Perret,48.856614,2.3522219
Les Sables-d'Olonne,,
Les Pennes-Mirabeau,43.34808,5.36066
Les Pavillons-sous-Bois,48.9024,2.45261
Les Mureaux,49.0631,1.8664
Les Lilas,48.856614,2.3522219
Les Herbiers,,
Les Clayes-sous-Bois,,
Le Puy-en-Velay,45.038806,3.886694
Le Pré-Saint-Gervais,48.856614,2.3522219
Le Pontet,43.96016,4.85721
Le Plessis-Trévise,48.8403,2.63463
Le Plessis-Robinson,48.8303,2.26972
Le Petit-Quevilly,49.4341643197619,1.06705283131125
Le Perreux-sur-Marne,48.8408,2.4844
Le Pecq,,
Lens,50.427502777777285,2.838019444444109
Le Mée-sur-Seine,48.5282,2.65382
Le Mans,47.9711,0.221456
Le Kremlin-Bicêtre,48.856614,2.3522219
Le Havre,49.5001917595947,0.11090280397160601
Le Grand-Quevilly,49.4341643197619,1.06705283131125
Le Creusot,46.802376,4.417486
Le Chesnay,,
Le Cannet,43.5625,7.00722
Le Bouscat,44.858413102209,-0.584282227097
Le Blanc-Mesnil,48.9024,2.45261
Laxou,48.69707068939401,6.154174177088357
La Valette-du-Var,43.13111,5.92418
Laval,45.6066487,-73.712409
Lattes,43.591486,3.886814
La Teste-de-Buch,,
La Seyne-sur-Mer,43.12679,5.92194
La Roche-sur-Yon,46.6607,-1.43681
La Rochelle,46.162558333333,-1.1536027777775
Laon,,
Lannion,,
Lanester,47.7422099,-3.394622400000003
Landerneau,,
Lambersart,50.67003055555521,3.07656105222801
La Madeleine,50.67003055555521,3.07656105222801
Lagny-sur-Marne,48.8403,2.63463
La Garenne-Colombes,48.9302,2.29421
La Garde,43.13111,5.92418
La Flèche,,
La Crau,43.11972,6.1318
La Courneuve,48.856614,2.3522219
La Ciotat,,
La Chapelle-sur-Erdre,47.2529,-1.57328
La Celle-Saint-Cloud,,
Jouy-le-Moutier,49.0459,2.04104
Joué-lés-Tours,47.34409,0.65385
Joinville-le-Pont,48.8408,2.4844
Ivry-sur-Seine,48.856614,2.3522219
Istres,43.458888888889,4.9341666666668
Issy-les-Moulineaux,48.856614,2.3522219
Issoire,45.54528,3.24806
Illzach,47.757435,7.347294
Illkirch-Graffenstaden,48.575985,7.727478
Hyères,43.11972,6.1318
Houilles,48.8913,2.24064
Hérouville-Saint-Clair,49.1753069759919,-0.35361122572053505
Herblay,,
Hénin-Beaumont,50.44914166666649,2.912866437201338
Hem,50.70654444444419,3.180661181067534
Hazebrouck,,
Hayange,49.3247745553987,6.076465997750869
Hautmont,50.27935555555515,3.976908650369971
Yutz,49.36859966696792,6.160950371596099
Haubourdin,50.640794444443976,3.074772222222191
Halluin,50.724199974783694,3.159064109937873
Haguenau,,
Guyancourt,,
Gujan-Mestras,,
Guéret,46.173666665758,1.873
Guérande,,
Grigny,,
Grenoble,45.180750631543,5.720058504242
Grasse,,
Grande-Synthe,51.02446111111093,2.302152777777458
Gradignan,44.800461732357,-0.5893979010379999
Goussainville,48.9908,2.44461
Gonesse,48.9908,2.44461
Givors,45.601923136623,4.802546222501
Gif-sur-Yvette,,
Gien,,
Gentilly,48.856614,2.3522219
Gennevilliers,48.9302,2.29421
Garges-lès-Gonesse,48.9908,2.44461
Gardanne,43.45348,5.46711
Garches,48.8303,2.26972
Gap,44.55521,6.07306
Gagny,48.8408,2.4844
Frontignan,,
Fresnes,48.7759,2.37577
Fréjus,43.43786,6.76837
Franconville,48.9302,2.29421
Fougères,,
Fos-sur-Mer,43.458888888889,4.9341666666668
Forbach,49.18748553504153,6.910756864974066
Fontenay-sous-Bois,48.8408,2.4844
Fontenay-le-Comte,,
Fontenay-aux-Roses,48.856614,2.3522219
Fontainebleau,48.3545,2.64536
Fontaine,45.180750631543,5.720058504242
Floirac,44.849647300541,-0.544994768749
Fleury-les-Aubrais,47.9071,1.90109
Flers,,
Firminy,,
Fécamp,,
Faches-Thumesnil,50.67003055555521,3.07656105222801
Eysines,44.84135998455,-0.650994740376
Évry,,
Évreux,49.0213545094737,1.14832205198037
Étampes,,
La Baule-Escoublac,,
Ermont,48.9302,2.29421
Éragny,49.0459,2.04104
Équeurdreville-Hainneville,49.6469486216996,-1.5934168863654499
Épinay-sur-Seine,48.9302,2.29421
Épinal,48.17264750507201,6.452813643643765
Épernay,49.0461,3.9558694444442
Elbeuf,49.3581955394225,1.00784992451445
Élancourt,,
Écully,45.772507,4.836879
Échirolles,45.162232917637,5.73567122388
Eaubonne,48.9302,2.29421
Dunkerque,50.9959111111106,2.366269284308894
Dreux,48.72968,1.35845
Draveil,,
Drancy,48.9024,2.45261
Draguignan,,
Douarnenez,,
Douai,50.378216666666326,3.065863930192917
Domont,49.1003,2.34378
Dole,47.09534,5.49081
Dijon,47.31546,5.040202
Digne-les-Bains,,
Dieppe,49.9180080986299,1.07397213322362
Deuil-la-Barre,48.9302,2.29421
Denain,50.3227611111106,3.395930592022906
Décines-Charpieu,45.778966990895,4.924923713657
Dax,43.708596449471,-1.051963130315
Dammarie-les-Lys,48.5282,2.65382
Cugnaux,43.56158117,1.393260062
Croix,50.70654444444419,3.180661181067534
Créteil,48.8408,2.4844
Crépy-en-Valois,,
Creil,49.259552777778,2.4743972222222
Cran-Gevrier,45.895344907131,6.118434383291
Cournon-d’Auvergne,45.768323,3.156437
Courbevoie,48.9302,2.29421
Coulommiers,48.8056,3.08444
Couëron,,
Coudekerque-Branche,51.04858333333284,2.420041946339717
Cormeilles-en-Parisis,48.8913,2.24064
Corbeil-Essonnes,,
Conflans-Sainte-Honorine,49.0459,2.04104
Concarneau,,
Compiègne,,
Combs-la-Ville,,
Pontault-Combault,48.8403,2.63463
Colomiers,43.62530339,1.377245933
Colombes,48.9302,2.29421
Colmar,48.074642,7.350667
Cognac,45.694725,-0.32336111111133
Cluses,46.05774,6.533437
Clichy-sous-Bois,48.9557,2.5744100000000003
Clichy,48.856614,2.3522219
Clermont-Ferrand,45.772167,3.0875
Clamart,48.8303,2.26972
Cholet,47.0558,-0.8835529999999999
Choisy-le-Roi,48.7759,2.37577
Chilly-Mazarin,48.7759,2.37577
Chevilly-Larue,48.7759,2.37577
Cherbourg-Octeville,49.6469486216996,-1.5934168863654499
Chenôve,47.31546,5.040202
Chennevières-sur-Marne,48.8408,2.4844
Chelles,48.8403,2.63463
Chaville,48.8303,2.26972
Chaumont,,
Chatou,48.8913,2.24064
Châtillon,48.856614,2.3522219
Châtenay-Malabry,48.8303,2.26972
Châtellerault,,
Château-Thierry,,
Châteauroux,46.79828,1.6931
Châteaudun,,
Chartres,48.44421,1.51023
Charleville-Mézières,49.7451,4.7192194444443
Charenton-le-Pont,48.856614,2.3522219
Champs-sur-Marne,48.8403,2.63463
Champigny-sur-Marne,48.8408,2.4844
Chambéry,45.564584299066,5.928431717547
Chamalières,45.77472,3.06278
Chalon-sur-Saône,46.78231,4.847322
Châlons-en-Champagne,48.9623,4.3600305555554
Challans,,
Cestas,,
Cesson-Sévigné,48.108591,-1.665886
Cergy,49.0459,2.04104
Cenon,44.849647300541,-0.544994768749
Cavaillon,,
Castres,43.61043594,2.230208516
Castelnau-le-Lez,43.609606,3.8987819999999997
Carvin,50.44914166666649,2.912866437201338
Carrières-sous-Poissy,,
Carquefou,47.2222,-1.53743
Carpentras,,
Carcassonne,,
Canteleu,49.4341643197619,1.06705283131125
Cannes,43.5625,7.00722
Cambrai,50.17249166666663,3.236055313658577
Caluire-et-Cuire,45.772507,4.836879
Calais,50.94728682189582,1.8430808950943152
Cahors,,
Cagnes-sur-Mer,43.65718,7.2033
Caen,49.1753069759919,-0.35361122572053505
Cachan,48.856614,2.3522219
Bry-sur-Marne,48.8408,2.4844
Brunoy,,
Bruay-la-Buissière,,
Bron,45.7747254,4.8986121
Brive-la-Gaillarde,45.158744444444,1.5372222222221001
Brignoles,43.39873,6.0761
Brie-Comte-Robert,,
Brétigny-sur-Orge,,
Brest,48.38618,-4.4866
Bressuire,,
Bourgoin,,
Bourg-lès-Valence,44.949193,4.890136
Bourg-la-Reine,48.856614,2.3522219
Bourges,47.08251,2.40528
Bourg-en-Bresse,46.211678626461,5.226506120842
Boulogne-sur-Mer,50.71308888888866,1.6078166666664662
Boulogne-Billancourt,48.8303,2.26972
Bouguenais,47.2529,-1.57328
Bordeaux,44.858413102209,-0.584282227097
Bonneuil-sur-Marne,48.8408,2.4844
Bondy,48.9024,2.45261
Boissy-Saint-Léger,,
Bois-Colombes,48.9302,2.29421
Bobigny,48.9024,2.45261
Blois,47.59454,1.3029
Blanquefort,44.84135998455,-0.650994740376
Blagnac,43.63347292,1.375719756
Bischheim,48.59043,7.7449829999999995
Biarritz,43.470243708257,-1.553839137167
Bezons,48.9302,2.29421
Béziers,,
Béthune,50.489522222222114,2.666433333333096
Besançon,47.2476193,6.0156502
Bergerac,,
Berck,,
Berck-Plage,,
Belfort,47.64067,6.85928
Bègles,44.849647300541,-0.544994768749
Beauvais,49.435933333333,2.0842916666665
Beaune,,
Bayonne,40.63306,-74.137156
Bayeux,,
Bastia,42.70242691,9.44621944
Bar-le-Duc,48.77570330186594,5.162992780605867
Balma,43.64305339,1.46765185
Bagnols-sur-Cèze,,
Bagnolet,48.856614,2.3522219
Bagneux,48.856614,2.3522219
Avon,41.463071,-82.114261
Avion,50.427502777777285,2.838019444444109
Avignon,43.94972,4.80508
Auxerre,47.800575,3.576189
Autun,,
Aurillac,44.920081,2.441083
Aulnay-sous-Bois,48.9024,2.45261
Audincourt,47.5265765,6.7835011
Auch,,
Aubervilliers,48.856614,2.3522219
Aubagne,,
Athis-Mons,48.7759,2.37577
Asnières-sur-Seine,48.9302,2.29421
Arras,50.308862869093346,2.807369437257285
Armentières,50.687188888888464,2.880041685118293
Arles,43.675555555556,4.628611111111
Argenteuil,48.9302,2.29421
Argentan,,
Arcueil,48.856614,2.3522219
Antony,48.8277,2.3266999999999998
Antibes,43.59972,7.09472
Annonay,,
Annemasse,46.195793667548,6.240596278778
Annecy-le-Vieux,45.917053910731,6.13566407044
Annecy,45.909572670468,6.117598950077
Angoulême,45.651444444445,0.1623888888891
Anglet,43.494041171804,-1.528753371459
Angers,47.4685,-0.555933
Amiens,49.9025,2.3045555555555
Allauch,43.30274,5.4261
Alfortville,48.856614,2.3522219
Alès,,
Alençon,48.4455319865787,0.11083352824315901
Albi,43.92781137,2.145879865
Albertville,45.675107781679,6.389599834955
Ajaccio,41.92466736,8.73567581
Aix-les-Bains,,
Aix-en-Provence,43.52406,5.44958
Agen,44.19209,0.6236900000000001
Agde,,
Achères,49.0459,2.04104
Abbeville,,
Villeneuve-d'Ascq,50.62804999999971,3.090313758184535
Les Ulis,,
Bourgoin-Jallieu,45.60827687874,5.270873912724
Marseille 01,43.30608,5.39579
Marseille 02,43.30608,5.39579
Marseille 03,43.30608,5.39579
Marseille 04,43.30608,5.39579
Marseille 05,43.30608,5.39579
Marseille 06,43.27633,5.39767
Marseille 07,43.27633,5.39767
Marseille 08,43.27633,5.39767
Marseille 10,43.27633,5.39767
Marseille 09,43.27633,5.39767
Marseille 11,43.30274,5.4261
Marseille 12,43.30274,5.4261
Marseille 13,43.30608,5.39579
Marseille 14,43.34808,5.36066
Marseille 15,43.34808,5.36066
Marseille 16,43.34808,5.36066
La Defense,48.9302,2.29421
Saint-Quentin-en-Yvelines,,
Cergy-Pontoise,49.0459,2.04104
